1	0.252152  0.030514  0.390395
1	0.252152  0.469486  0.609605
1	0.247848  0.530514  0.109605
1  	0.247848  0.969486  0.890395
1  	0.747848  0.969486  0.609605
1	0.747848  0.530514  0.390395
1	0.752152  0.469486  0.890395
1	0.752152  0.030514  0.109605
2	0.107021  0.101976  0.654002
2	0.107021  0.398024  0.345998
2	0.392979  0.601976  0.845998
2	0.392979  0.898024  0.154002
2	0.892979  0.898024  0.345998
2	0.892979  0.601976  0.654002
2	0.607021  0.398024  0.154002
2	0.607021  0.101976  0.845998
2	0.049404  0.250000  0.000000
2	0.450596  0.750000  0.500000
2	0.950596  0.750000  0.000000
2	0.549404  0.250000  0.500000
