1	0.000000  0.000000  0.000000
1	0.500000  0.000000  0.500000
1	0.000000  0.500000  0.000000
1	0.500000  0.500000  0.500000
1	0.008375  0.750000  0.722736
1	0.508375  0.250000  0.777264
1	0.991625  0.250000  0.277264
1	0.491625  0.750000  0.222736
2	0.925974  0.750000  0.406362
2	0.425974  0.250000  0.093638
2	0.074026  0.250000  0.593638
2	0.574026  0.750000  0.906362
3	0.276946  0.466986  0.162835
3	0.776946  0.533014  0.337165
3	0.723054  0.966986  0.837165
3	0.223054  0.033014  0.662835
3	0.723054  0.533014  0.837165
3	0.223054  0.466986  0.662835
3	0.276946  0.033014  0.162835
3	0.776946  0.966986  0.337165
3	0.777851  0.750000  0.553218
3	0.277851  0.250000  0.946782
3	0.222149  0.250000  0.446782
3	0.722149  0.750000  0.053218
3	0.265961  0.750000  0.408323
3	0.765961  0.250000  0.091677
3	0.734039  0.250000  0.591677
3	0.234039  0.750000  0.908323
