Name	U
--	eV
H	12.5104723784421
Li	4.98810476885886
Be	8.11912929027355
B	9.39776227777687
C	11.2919578599915
N	13.1582060880337
O	14.9679754949894
F	16.75291105888
Na	4.80600217943786
Mg	6.76006771353313
Al	6.25313725605056
Si	7.42856767371789
P	8.54555393372613
S	9.61896558949043
Cl	10.667690748008
K	3.98611344185249
Ca	5.34320097418181
Sc	6.72577205937111
Ti	6.13176464733728
V	6.07131938186046
Cr	5.98657147004667
Mn	6.05995752836504
Fe	6.60137676834766
Co	6.74312404865571
Ni	8.3572660052194
Cu	6.99698065886723
Zn	9.78388075333205
Ga	6.390865837886
Ge	7.230543133992
As	8.0368082344038
Se	8.7889114788964
Br	9.5140534180208
Rb	3.845559022
Sr	4.976095168
Y	7.5354640434
Zr	6.40917802083394
Nb	5.86538678356679
Mo	5.61370457480499
Tc	5.94198139752991
Ru	7.02510629912233
Rh	8.01667584514315
Pd	8.39716386607405
Ag	6.99484530410583
Cd	9.18282477355731
In	5.840593196
Sn	6.4852413942
Sb	7.0919342948
Te	7.671232875
I	8.2167463966
Cs	3.56790138
Ba	4.522335068
La	6.803
Hf	7.7872743672
Ta	8.3369907822
W	8.7434142476
Re	7.277182706
Os	7.03797194839293
Ir	6.80910121705881
Pt	7.8824483372
Au	7.494599783
Hg	8.0484442584
Tl	5.7179840876
Pb	6.2679794256
Bi	6.7976827752
